Donor_Name,Pi_Name,Acceptor_Name,Donor_SMILES,Pi_SMILES,Acceptor_SMILES,SMILES,Source_Class,Anchoring_Group
Coumarin_dimethylamino,Furan,Barbituric_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1ccoc1[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],CN(C)c1c(-c2ccoc2C=C2C(=O)NC(=O)NC2=O)ccc2oc(=O)ccc12,Natural-derived,None
Coumarin_dimethylamino,Thienothiophene,Cyanoacrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]C=C(C#N)C(=O)O,CN(C)c1c(-c2cc3c(C=C(C#N)C(=O)O)csc3s2)ccc2oc(=O)ccc12,Natural-derived,cyanoacrylate
Coumarin_dimethylamino,Thienothiophene,Acrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CC(=O)O,CN(C)c1c(-c2cc3c(C=CC(=O)O)csc3s2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Thienothiophene,Benzoic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]c1ccc(C(=O)O)cc1,CN(C)c1c(-c2cc3c(-c4ccc(C(=O)O)cc4)csc3s2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Thienothiophene,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1cc2c(s1)scc2[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CN(C)c1c(-c2cc3c(C=C4SC(=O)N(CC(=O)O)C4=O)csc3s2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Thienothiophene,Phosphonic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1cc2c(s1)scc2[Br],[Cl]C=CP(=O)(O)O,CN(C)c1c(-c2cc3c(C=CP(=O)(O)O)csc3s2)ccc2oc(=O)ccc12,Natural-derived,phosphonic_acid
Coumarin_dimethylamino,Thienothiophene,Barbituric_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]c1cc2c(s1)scc2[Br],O=C1NC(=O)NC(=O)/C1=C/[Cl],CN(C)c1c(-c2cc3c(C=C4C(=O)NC(=O)NC4=O)csc3s2)ccc2oc(=O)ccc12,Natural-derived,None
Coumarin_dimethylamino,Ethyne,Cyanoacrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]C#C[Br],[Cl]C=C(C#N)C(=O)O,CN(C)c1c(C#CC=C(C#N)C(=O)O)ccc2oc(=O)ccc12,Natural-derived,cyanoacrylate
Coumarin_dimethylamino,Ethyne,Acrylic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]C#C[Br],[Cl]C=CC(=O)O,CN(C)c1c(C#CC=CC(=O)O)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Ethyne,Benzoic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]C#C[Br],[Cl]c1ccc(C(=O)O)cc1,CN(C)c1c(C#Cc2ccc(C(=O)O)cc2)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
Coumarin_dimethylamino,Ethyne,Rhodanine-3-acetic_acid,O=C1Oc2ccc([At])c(N(C)C)c2C=C1,[I]C#C[Br],O=C1S/C(=C\[Cl])/C(=O)N1CC(=O)O,CN(C)c1c(C#CC=C2SC(=O)N(CC(=O)O)C2=O)ccc2oc(=O)ccc12,Natural-derived,carboxylic_acid
